arvo,afternoon
ase,age
ashl,asshole
ashole,asshole
asl,age
aslo,age
aslop,age
aslp,age
aslr,age
aslrp,age
asr,age
asshle,asshole
atl,Atlanta
attn,attention
avie,avatar
avtr,avatar
avvie,avatar
avy,avatar
awes,awesome
awk,awkward
awsm,awesome
awsome,awesome
azhol,asshole
azn,Asian
azz,ass
b-cuz,because
b-day,birthday
b.s.,bullshit
b'day,birthday
b@,banned
b/c,because
b/cos,because
b/g,background
b/s/l,bisexual
b/t,between
b/w,between
b&,banned
b00t,boot
b0rked,broken
b1tch,bitch
b3,be
b4,before
b8,bait
b82rez,batteries
b8rez,batteries
babi,baby
bai,bye
bak,back
bakk,back
balz,balls
bbe,baby
bbi,baby
bby,baby
bbz,babes
bc,because
bch,bitch
bck,back
bcoz,because
bcuz,because
bd,birthday
bday,birthday
be4,before
beatch,bitch
bebe,baby
becuse,because
becuz,because
beech,bitch
beeoch,bitch
beezy,bitch
beotch,bitch
besos,kisses
betch,bitch
bettr,better
bewb,boob
bewbs,boobs
bewbz,boobs
bewt,boot
beyatch,bitch
beyotch,bitch
bf,boyfriend
bf's,boyfriend's
bfs,boyfriends
bg,background
bi,bye
biach,bitch
biatch,bitch
bich,bitch
bii,bye
biotch,bitch
bish,bitch
biz,business
bizatch,bitch
bizi,busy
biznatch,bitch
biznitch,bitch
bizzle,bitch
bj,blowjob
bk,back
bleve,believe
blg,blog
bling-bling,jewelry
blj,blowjob
bljb,blowjob
blk,black
blu,blue
bn,been
bnr,banner
boi,boy
bonr,boner
bord,bored
bout,about
bovered,bothered
bowt,about
boxor,box
br,bathroom
brd,bored
bro,brother
bros,brothers
broseph,brother
brover,brother
bruh,brother
bruhh,brother
bruv,brother
bruva,brother
bruz,brothers
bs,bullshit
bstrd,bastard
bsx,bisexual
btch,bitch
btfl,beautiful
btm,bottom
btr,better
btwn,between
bubi,bye
bukket,bucket
bur,pussy
buszay,busy
byeas,goodbye
bytch,bitch
bz,busy
bzns,business
bzy,busy
bzzy,busy
c,see
c-p,sleepy
c@,cat
cam,camera
cancer stick,cigarette
cawk,cock
cex,sex
cexy,sexy
cg,congratulations
ch@,chat
char,character
cheezburger,cheeseburger
chik,chick
chillin,relaxing
chk,check
chr,character
chronic,marijuana
chu,you
chut,pussy
cig,cigarette
cigs,cigarettes
cing,seeing
cless,clanless
cmbo,combo
